baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
AQP3	41.9988480588797	1.35371981569355	0.334791131149328	4.04347573678629	5.26646084808353e-05	0.000610454424225093	SENS_vs_RESIST	AQP3	AQP3	2.55570233790775
ARAP1	463.321293962601	1.26471698650581	0.372445342296172	3.39571164646246	0.000684504302922273	0.00541482935037643	SENS_vs_RESIST	ARAP1	ARAP1	2.40280069539181
AREG	6382.57503176696	1.55145402262835	0.147268137355389	10.5348926827557	5.96512765101606e-26	1.54970228990762e-23	SENS_vs_RESIST	AREG	AREG	2.93112404203022
ARFRP1	74.1883373309201	-1.20412016192776	0.25635681507936	-4.69704759576999	2.63948962332737e-06	4.2857665342261e-05	SENS_vs_RESIST	ARFRP1	ARFRP1	0.434033961649101
ARGLU1	1999.60912695885	-1.03342926935084	0.315849229361087	-3.27190688874343	0.00106824751012787	0.00786945438776869	SENS_vs_RESIST	ARGLU1	ARGLU1	0.48854749581301
ARHGAP19	585.774186571488	-1.1713147554672	0.138725484008045	-8.44340002734663	3.08237996421672e-17	3.15308205464594e-15	SENS_vs_RESIST	ARHGAP19	ARHGAP19	0.444016515441959
ARHGAP20	214.514680612319	3.26484964902957	0.411751199275784	7.92918066728646	2.20596425117737e-15	1.83274197456955e-13	SENS_vs_RESIST	ARHGAP20	ARHGAP20	9.61208661703228
ARHGAP22	96.5491316829353	3.08838256445019	0.337657421811997	9.14649690765498	5.88096644295861e-20	8.51803343114191e-18	SENS_vs_RESIST	ARHGAP22	ARHGAP22	8.50542050772725
ARHGEF26	363.11394786587	1.08111528289909	0.199405267837231	5.42169870748639	5.90353244266224e-08	1.37639765653922e-06	SENS_vs_RESIST	ARHGEF26	ARHGEF26	2.11567097955393
ARHGEF26-AS1	2.70799479707115	-3.90414178392249	1.1877521136747	-3.28700049359941	0.00101260656250563	0.00755049276015015	SENS_vs_RESIST	ARHGEF26-AS1	ARHGEF26-AS1	0.0667938098244448
ARHGEF28	1299.61615917595	-1.3287896026794	0.110836687591258	-11.988716295634	4.07166148963826e-33	1.85113565558082e-30	SENS_vs_RESIST	ARHGEF28	ARHGEF28	0.39810210289765
ARHGEF38	8.76694687469134	-3.87687434681665	1.32926804352399	-2.91654822043173	0.00353928009935323	0.020732783602761	SENS_vs_RESIST	ARHGEF38	ARHGEF38	0.0680682416821121
ARHGEF40	118.708069211021	1.89771236672465	0.27844118818597	6.81548724557651	9.3944808940985e-12	4.62343240243576e-10	SENS_vs_RESIST	ARHGEF40	ARHGEF40	3.72621873875224
ARL4D	194.375577852697	1.01923585670347	0.163199393367361	6.24534096403884	4.22876612024241e-10	1.53134341887057e-08	SENS_vs_RESIST	ARL4D	ARL4D	2.0268451287853
ARMC2	44.4413139306642	-1.26429778117294	0.24568438194368	-5.14602422494551	2.66065078640178e-07	5.47071249008014e-06	SENS_vs_RESIST	ARMC2	ARMC2	0.416301949276438
ARMCX1	121.46627831633	1.84779614874124	0.406431671986962	4.54638817813517	5.45743433571033e-06	8.21727946389797e-05	SENS_vs_RESIST	ARMCX1	ARMCX1	3.59949907788846
ARMCX2	697.007916558735	1.70602715533674	0.195062488495268	8.74605450026407	2.20942427697079e-18	2.62040921312905e-16	SENS_vs_RESIST	ARMCX2	ARMCX2	3.26261138375426
ARNT2	54.4616062389377	3.05261628020866	0.448881705086854	6.80049163424473	1.04262726010399e-11	5.0787739184887e-10	SENS_vs_RESIST	ARNT2	ARNT2	8.29715236979599
ARNTL	297.819316485837	1.56788831940373	0.44804972606278	3.49936229887135	0.000466372422505622	0.00394069046935958	SENS_vs_RESIST	ARNTL	ARNTL	2.96470450971359
ARRDC2	181.994187997909	1.02615258849262	0.251005560447197	4.08816675879374	4.34795565933416e-05	0.000511963958822462	SENS_vs_RESIST	ARRDC2	ARRDC2	2.03658579024846
ARSI	71.258082012383	3.44368228742585	0.61303581100075	5.61742434231406	1.93824998699899e-08	5.04345588826908e-07	SENS_vs_RESIST	ARSI	ARSI	10.8805704190333
ASF1B	1357.39105300027	1.09092882925698	0.242292079446176	4.50253607856513	6.71473514581032e-06	9.92773894593292e-05	SENS_vs_RESIST	ASF1B	ASF1B	2.13011132196942
ASNS	1666.08086899861	1.06452160430431	0.223316237415985	4.76687954544638	1.87101091755833e-06	3.14725957735634e-05	SENS_vs_RESIST	ASNS	ASNS	2.09147623393648
ASPHD1	2.88808940318062	3.5426738861119	1.34939477982549	2.62537986590556	0.00865523457882386	0.042110649331632	SENS_vs_RESIST	ASPHD1	ASPHD1	11.6533584309414
ASPHD2	24.0159318332741	-1.08076942049329	0.383743948114715	-2.81638166752328	0.00485679308315534	0.0269187715516436	SENS_vs_RESIST	ASPHD2	ASPHD2	0.472776614112615
ASS1	757.827478972676	1.43562448154392	0.323959658334096	4.43149152868713	9.35834903290677e-06	0.000133888198095791	SENS_vs_RESIST	ASS1	ASS1	2.70499228920983
ASTN2	200.155383401927	-2.5763976719818	0.18211205426281	-14.1473209031168	1.94008692887405e-45	1.67123172446746e-42	SENS_vs_RESIST	ASTN2	ASTN2	0.167659057323743
ATF3	401.928499073963	-1.65142510386008	0.540148544559711	-3.0573536122479	0.00223300680717471	0.0142264003164766	SENS_vs_RESIST	ATF3	ATF3	0.318325557348126
ATP11A	604.222368437859	-1.5391459664476	0.193573641606709	-7.95121667223029	1.84688600592442e-15	1.5743741280711e-13	SENS_vs_RESIST	ATP11A	ATP11A	0.344089084999501
ATP13A5	31.4697484613187	3.06350121667054	0.531130932208235	5.76788326737759	8.02733744484723e-09	2.25357516226097e-07	SENS_vs_RESIST	ATP13A5	ATP13A5	8.35999000044727
ATP6V0E2	55.5323119669131	-1.88638665337545	0.35702171310731	-5.28367486940061	1.2661788568365e-07	2.76313991331241e-06	SENS_vs_RESIST	ATP6V0E2	ATP6V0E2	0.270483659713665
ATP6V1C2	38.805071562046	2.81281948304319	0.523068534348193	5.37753525271466	7.55124311169417e-08	1.72724358661915e-06	SENS_vs_RESIST	ATP6V1C2	ATP6V1C2	7.02656449328487
ATP8A1	3.11874408491648	-2.40975049068611	0.913032857809408	-2.63928123733433	0.00830820254237123	0.0407737184440749	SENS_vs_RESIST	ATP8A1	ATP8A1	0.188188387168431
ATP8B2	443.936181463067	3.11863005952788	0.243556059009308	12.8045677541887	1.54584176591628e-37	8.72441109750062e-35	SENS_vs_RESIST	ATP8B2	ATP8B2	8.68562736867911
AZGP1	19.0885083352707	4.22278478631578	0.948703454091554	4.45111142802719	8.54269977589911e-06	0.000123187988750785	SENS_vs_RESIST	AZGP1	AZGP1	18.6717440684221
